Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19591.940000000002,235103.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,8325.92,99911.04,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10000 GB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (5000 GB)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,4619.46,55433.52,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10000 GB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), Additional backup storage (5000 GB)"
My Estimate,US East (Ohio),,S3 Standard,0,1150,13800.00,USD,,S3 Standard storage (50000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (Ohio),,Amazon CloudFront,0,4551.2,54614.40,USD,,"Data transfer out to internet (50000 GB per month), Data transfer out to origin (25000 GB per month)"
My Estimate,US East (Ohio),,Application Load Balancer,0,31.03,372.36,USD,,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Network Load Balancer,0,20.81,249.72,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (1 GB per hour)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,297.84,3574.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (a1.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,297.84,3574.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (a1.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,297.84,3574.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (a1.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Increase Data Transfer out to internet of CloudFront, add RDS read relica -> Increse speed of application
